PubmedID,Title,Publication Date,Journal,Has Industry Authors,Industry Authors,Companies,Corresponding Author Email,Total Authors,Industry Authors Count
40652336,Nanomaterials Trigger Functional Anti-Tumoral Responses in Primary Human Immune Cells.,2025-07-12,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",No,,,,21,0
40652318,Predictive biomarkers for immune checkpoint inhibition for patients with colorectal cancer: a comprehensive review.,2025-07-12,Immunotherapy,Yes,"Kim, Richard",Gastrointestinal Medical Oncology,,3,1
40652273,Prognostic value of LncRNA PSMA3-AS1 in prostate cancer and its potential regulatory mechanism.,2025-07-12,Hereditas,Yes,"Lu, Wenlong",Urology,wenlonglud@163.com,4,1
40652233,Assessment of nursing staff attitude regarding prevention of cervical cancer.,2025-07-12,BMC nursing,No,,,mayadasobhy@mans.edu.eg,3,0
40652145,"Clinical outcome and genomic biomarkers of immune checkpoint inhibitor-based therapies for cancer of unknown primary: a multicenter, real-world study.",2025-07-12,Journal of cancer research and clinical oncology,No,,,shiyx@sysucc.org.cn,13,0
40652143,Does propranolol have a role in cancer treatment? A systematic review of the epidemiological and clinical trial literature on beta-blockers.,2025-07-12,Journal of cancer research and clinical oncology,No,,,j.ologbon@nhs.net,6,0
40652095,Trends in the use and efficacy of adjuvant immunotherapy in muscle-invasive urothelial carcinoma.,2025-07-12,Scientific reports,No,,,shingoh@hirosaki-u.ac.jp,21,0
40652067,Genetic determinants of head and neck cancer: exploring causality among immune cells and plasma metabolites through two-sample Mendelian randomization and mediation analysis.,2025-07-12,Discover oncology,Yes,"Cao, Xiaolin",Otorhinolaryngology Head and Neck Surgery,doctorcaoxiaolin@163.com,5,1
40652043,hMTR4 promotes p53 protein degradation and tumor growth by accelerating rRNA processing and regulating the RPL5-MDM2 axis.,2025-07-13,Cell death and differentiation,No,,,xiech27@mail.sysu.edu.cn,10,0
40652037,Potent ferroptosis agent RSL3 induces cleavage of Pyroptosis-Specific gasdermins in Cancer cells.,2025-07-12,Scientific reports,Yes,"Herrick, William G; Tran, Huong-Lan; Tomaino, Francesca R; Beall, Brittany; Govindharajulu, Jeevan; Esposito, Dominic; Parchment, Ralph E; Srivastava, Apurva K",Protein Expression Laboratory; Clinical Pharmacodynamics Biomarker Program,Srivastavaa4@nih.gov,10,8
40652024,"Neoadjuvant chemoradiotherapy plus sintilimab in pMMR/MSS rectal cancer patients with PD-L1 TPS ≥ 1% or CPS ≥ 1: an open-label, prospective, phase II study.",2025-07-12,NPJ precision oncology,No,,,panzhzh@sysucc.org.cn,18,0
40651969,Endogenous tyrosinase-catalyzed therapeutics.,2025-07-12,Nature communications,No,,,qhu66@wisc.edu,5,0
40651940,Glucose-induced STUB1-GOT2 axis promotes aspartate synthesis and mitochondrial dysfunction in bladder cancer.,2025-07-12,Cell death & disease,Yes,"Guo, Ju",Urology,544949441@qq.com,15,1
40651921,"Enhanced Detection of Prostate Cancer Lesions on Biparametric MRI Using Artificial Intelligence: A Multicenter, Fully-crossed, Multi-reader Multi-case Trial.",2025-07-11,Academic radiology,Yes,"Zhang, Yang; Wang, Qian; Cheng, Ruonan; Ding, Jiule",Radiology; Shanghai United Imaging Intelligence,dingjiule@163.com,11,4
40651919,Corrigendum to 'Robotic MRI/CT Guided Multiregional 'smart' Biopsy for Characterization of Tumor Heterogeneity: A Prospective Development Study' [Acad Radiol 32/2 (2025) 1100-1107].,2025-07-11,Academic radiology,No,,,ed.johnston@rmh.nhs.uk,20,0
40651900,International Association of Pancreatology Revised Guidelines on Acute Pancreatitis 2025.,2025-07-10,Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.],No,,,,2,0
